,Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts,Overall Rating
475,C.J. Stroud,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.1010125971844875
476,Cody Thompson,1.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,-0.0,4.0,1.0,0.11169255868059377
477,Laquon Treadwell,1.0,16.0,0.0,0.0,0.0,16.0,1.0,100.0,-0.0,0.0,3.0,0.21036618938991844
478,Nick Vannett,1.0,3.0,0.0,0.0,0.0,3.0,1.0,100.0,-0.0,0.0,1.0,0.1959662068050538
479,Tylan Wallace,1.0,11.0,0.0,0.0,0.0,11.0,1.0,100.0,-0.0,0.0,2.0,0.20470785442970574
480,Trevon Wesco,1.0,21.0,0.0,1.0,0.0,21.0,1.0,100.0,-0.0,12.0,3.0,0.22024885052746307
481,Damiere Byrd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,0.10063405155867479
482,Irvin Charles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10011457103919429
483,Tommy DeVito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.09959509051971377
484,Phillip Dorsett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,3.0,0.10115353207815532
485,D'Wayne Eskridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10011457103919429
486,Erik Ezukanma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10011457103919429
487,Chauncey Golston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.09959509051971377
488,Robert Hainsey,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,-0.0,-3.0,0.0,0.09610952524063249
489,JaMycal Hasty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,0.10063405155867479
490,Travis Homer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10011457103919429
491,Shedrick Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10011457103919429
492,Daniel Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.09959509051971377
493,Sean McKeon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,0.10063405155867479
494,Jordan Mims,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,0.10063405155867479
495,Albert Okwuegbunam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10011457103919429
496,Trey Pipkins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.09959509051971377
497,James Proche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,5.0,0.10219249311711635
498,Amari Rodgers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,0.10063405155867479
499,Matthew Stafford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.09959509051971377
500,Easton Stick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.09959509051971377
501,Cole Strange,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,-0.0,3.0,0.0,0.10308065579879505
502,Ryan Tannehill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10011457103919429
503,Trent Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,0.10063405155867479
504,Greg Van Roten,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,-1.0,5.0,0.0,0.07510133568181893
505,Jonathan Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10011457103919429
506,Rod Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,0.10063405155867479
507,Juwann Winfree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10011457103919429
